@relation 'multiresolution-weka.filters.unsupervised.attribute.Remove-R7,9-11'

@attribute rate numeric
@attribute sigma1 numeric
@attribute sigma2 numeric
@attribute sigma4 numeric
@attribute sigma8 numeric
@attribute sigma16 numeric
@attribute class {1,2,3}

@data
179782,2.984356,2.112145,1.404235,0.697137,0.248959,2
179218,2.864669,1.90924,1.357693,0.733225,0.153486,2
176853,2.858602,1.904616,1.433827,0.743082,0.25311,2
956720,1.766554,1.676073,1.649745,0.999975,0,2
532437,2.417729,2.29042,2.248645,1.500932,0.796869,2
408810,2.654285,2.51749,2.446647,1.65742,0.949203,2
338177,2.894026,2.705759,2.606965,1.782282,1.057527,2
138427,3.020685,2.205222,1.389785,0.6826,0.160344,2
143383,3.208127,2.322149,1.481954,0.773458,0.113835,2
144686,3.403749,2.315596,1.484481,0.769877,0.112002,2
118949,3.635947,2.488467,1.622588,0.865862,0.269729,2
2397934,0.913561,0.84384,0.811236,0.778745,0.062497,3
1536723,1.264245,1.16936,1.117528,1.083259,0.657946,3
1206410,1.433655,1.308578,1.228165,1.191405,0.786254,3
1045231,1.520319,1.35623,1.259367,1.223424,0.830061,3
579402,1.477494,0.985228,0.38087,0.250139,0.082211,3
615618,1.581753,1.030682,0.345781,0.247206,0.106359,3
610779,1.726582,1.2154,0.519102,0.299434,0.08801,3
549344,1.919778,1.309036,0.666644,0.337733,0.10881,3
2375008,0.952384,0.815005,0.710383,0.673539,0,3
1593277,1.26752,1.063748,0.901649,0.863116,0.490643,3
1349581,1.383863,1.124538,0.909153,0.870542,0.537486,3
1169370,1.505201,1.199599,0.957803,0.910673,0.599871,3
786900,1.686479,1.118967,0.438849,0.20881,0.118329,3
795441,1.694731,1.155731,0.482662,0.279126,0.121301,3
775098,1.786188,1.1759,0.620926,0.317884,0.183808,3
835252,1.709009,1.070876,0.533134,0.32648,0.016522,3
2748566,0.690752,0.433095,0.215194,0.179088,0,3
2223092,0.77826,0.473429,0.313171,0.283853,0.23637,3
2309925,0.827135,0.565103,0.258769,0.230299,0.193199,3
2158361,0.848478,0.57519,0.291581,0.268566,0.216464,3
2072598,0.80779,0.535852,0.248817,0.226719,0.179958,3
2184849,0.768568,0.504699,0.229213,0.205256,0.139377,3
2095294,0.711259,0.263202,0.185349,0.132046,0.113911,3
2184328,0.675745,0.214465,0.156567,0.085826,0.062644,3
4063217,0.085029,0.061859,0.038148,0.014733,0,3
3191167,0.435597,0.370307,0.341569,0.277558,0.27327,3
2683889,0.575318,0.469,0.435493,0.379576,0.376604,3
2378866,0.673794,0.556625,0.491014,0.432388,0.429794,3
1798080,0.824054,0.514245,0.360509,0.189339,0.176563,3
1659091,0.899743,0.431839,0.221129,0.085435,0.071083,3
1669925,0.94397,0.395126,0.25463,0.10681,0.084583,3
1767153,0.92516,0.394808,0.251927,0.095314,0.052781,3
2130175,0.855341,0.821929,0.724554,0.630598,0,1
1136051,1.453021,1.406826,1.302931,1.210821,0.875069,1
757375,1.914892,1.86243,1.745383,1.64288,1.283965,1
568035,2.285242,2.226683,2.096444,1.982929,1.591029,1
35496,5.780739,4.026426,2.757925,1.91202,1.731115,1
19,3.111946,2.077448,1.414214,0.794719,0,1
24749,7.869763,5.562537,3.926823,0.999394,0.999313,1
24747,7.870407,5.563001,3.927172,2.757079,1.881087,1
2254333,0.855404,0.802033,0.727095,0.690998,0,1
1201798,1.453605,1.388467,1.306837,1.26829,0.8758,1
801207,1.915556,1.841649,1.749758,1.706681,1.284711,1
600908,2.28599,2.203521,2.101306,2.053525,1.591837,1
68499,4.104372,2.913363,2.268995,1.440448,1.007751,1
31191,5.985732,4.173066,3.870396,2.643957,1.730829,1
49862,4.692006,3.265089,2.222939,1.409647,0.730433,1
27851,5.780229,4.05598,2.816577,1.894605,1.095048,1
2551614,0.573012,0.556411,0.544162,0.29012,0,1
1275821,1.2871,1.27245,1.261811,1.080876,0.999978,1
884532,1.646321,1.629849,1.614655,1.419919,1.333517,1
668686,1.968056,1.949468,1.932545,1.720093,1.626734,1
56034,3.617973,2.84375,1.882402,1.533193,0.821954,1
61318,3.352977,2.612753,1.706817,1.362942,0.655001,1
36399,4.764803,3.318211,2.263198,1.443335,1.080321,1
57779,4.12737,2.851448,1.906356,1.134105,0.624599,1
2245469,0.805189,0.737019,0.642408,0.571494,0,1
1135399,1.492479,1.421235,1.32804,1.262873,0.977692,1
756939,1.959887,1.878773,1.773546,1.700649,1.390601,1
596392,2.224133,2.126415,2.00819,1.928954,1.598024,1
66368,4.000094,2.739089,1.803219,1.277158,0.822139,1
60041,4.366132,3.00571,2.00428,1.458091,1.001631,1
67370,3.969047,2.736346,2.415922,1.570372,0.863197,1
68982,3.864918,2.658078,2.419137,1.310166,0.83105,1
2031467,0.944759,0.900362,0.885212,0.875309,0,1
984965,1.721282,1.669905,1.652588,1.64133,1.031699,1
677177,2.162718,2.10514,2.085777,2.073201,1.414147,1
520500,2.495413,2.430065,2.408668,2.393864,1.676465,1
30145,5.14859,3.571263,2.683646,1.76096,1.024999,1
30621,5.068593,3.515802,2.641996,1.73369,1.009248,1
30611,5.108838,4.727054,3.313343,2.758038,1.881863,1
7,4.309458,2.976095,1.963961,1.133893,0.845154,1
2250896,0.996939,0.940896,0.888877,0.877966,0,2
1199570,1.617318,1.540052,1.47574,1.460397,0.876419,2
895644,1.877873,1.777136,1.693891,1.667605,1.071854,2
698463,2.154888,2.039303,1.946038,1.916887,1.286825,2
201986,2.832466,1.968902,1.235541,0.59012,0.377511,2
238397,2.496999,1.768197,1.061424,0.397467,0.321596,2
202557,2.808013,1.948615,1.25601,0.878191,0.344253,2
215207,2.734054,1.816582,1.137758,0.592528,0.37918,2
1562233,1.205617,1.148354,1.071853,0.842903,0,2
846443,1.804393,1.72851,1.636829,1.38754,0.845644,2
638325,2.058431,1.958617,1.84221,1.571476,1.025131,2
517478,2.29166,2.157913,2.020618,1.733278,1.167428,2
163146,2.834243,1.986489,1.213758,0.610775,0.215179,2
168715,2.795479,2.096736,1.303175,0.668795,0.183984,2
150486,3.019549,2.026862,1.428871,0.801365,0.028936,2
171256,2.675288,1.902049,1.295231,0.593054,0.151583,2
2150658,1.182444,0.892646,0.875803,0.869762,0,2
1134887,1.842337,1.506778,1.481514,1.471374,0.895041,2
852199,2.082204,1.722233,1.689482,1.667469,1.080379,2
680667,2.322115,1.929363,1.889962,1.861388,1.2501,2
177338,2.535606,1.795284,1.408162,0.701173,0.368729,2
187687,2.271668,1.591888,1.275345,0.559764,0.310312,2
179145,2.677333,2.106341,1.381076,0.733131,0.15339,2
177742,2.598461,2.108112,1.506033,0.744561,0.25137,2
660920,2.169206,1.514219,1.506985,0.835465,0.062491,2
378684,2.878824,2.061605,2.008849,1.244591,0.668206,2
306292,3.079917,2.202243,2.090502,1.30612,0.741594,2
228506,3.620099,2.618772,2.492307,1.619088,1.031369,2
109359,3.856169,2.633441,1.72267,0.99192,0.604674,2
134449,3.449755,2.334608,1.491731,0.782724,0.599581,2
134473,3.41263,2.322253,1.489844,0.757007,0.678822,2
140804,3.265242,2.211965,1.400457,0.62448,0.317132,2
2538087,0.797616,0.751033,0.734132,0.729694,0,3
